Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,9,0.31,0.31,0.44731722460910817
75% Corpus,9,0.31,0.61,0.4115930996488514
75% Corpus,9,0.31,0.9099999999999999,0.41118107984852204
75% Corpus,9,0.31,symmetric,0.45547598868909694
75% Corpus,9,0.61,0.01,0.4474005254642516
75% Corpus,9,0.61,0.31,0.44627069539270586
75% Corpus,9,0.61,0.61,0.4057216767222986
75% Corpus,9,0.61,0.9099999999999999,0.41176115218292586
75% Corpus,9,0.61,symmetric,0.45613763416474185
75% Corpus,9,0.9099999999999999,0.01,0.4602012477577484
75% Corpus,9,0.9099999999999999,0.31,0.4487169511978278
75% Corpus,9,0.9099999999999999,0.61,0.4527150492710485
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.4265391560177082
75% Corpus,9,0.9099999999999999,symmetric,0.44321079860853363
75% Corpus,9,symmetric,0.01,0.4466861054560207
75% Corpus,9,symmetric,0.31,0.41149479207347395
75% Corpus,9,symmetric,0.61,0.40870564536882603
75% Corpus,9,symmetric,0.9099999999999999,0.4249552069627377
75% Corpus,9,symmetric,symmetric,0.45715657948420074
75% Corpus,9,asymmetric,0.01,0.38482495287670754
75% Corpus,9,asymmetric,0.31,0.4371771604901728
75% Corpus,9,asymmetric,0.61,0.42880812086190206
75% Corpus,9,asymmetric,0.9099999999999999,0.4321535617440556
75% Corpus,9,asymmetric,symmetric,0.4409020800751696
100% Corpus,2,0.01,0.01,0.37443595918045763
100% Corpus,2,0.01,0.31,0.34501111801353707
100% Corpus,2,0.01,0.61,0.34217993468878144
100% Corpus,2,0.01,0.9099999999999999,0.3579643937122323
100% Corpus,2,0.01,symmetric,0.34217993468878144
100% Corpus,2,0.31,0.01,0.37353254852335815
100% Corpus,2,0.31,0.31,0.3630314704873133
100% Corpus,2,0.31,0.61,0.34217993468878144
100% Corpus,2,0.31,0.9099999999999999,0.3579643937122323
100% Corpus,2,0.31,symmetric,0.34217993468878144
100% Corpus,2,0.61,0.01,0.37353254852335827
100% Corpus,2,0.61,0.31,0.35133297458212454
100% Corpus,2,0.61,0.61,0.34732322600774834
100% Corpus,2,0.61,0.9099999999999999,0.37888450998963075
100% Corpus,2,0.61,symmetric,0.34941153876636943
100% Corpus,2,0.9099999999999999,0.01,0.37353254852335827
100% Corpus,2,0.9099999999999999,0.31,0.34107809092351415
100% Corpus,2,0.9099999999999999,0.61,0.3481842918931253
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.37888450998963075
100% Corpus,2,0.9099999999999999,symmetric,0.3401535371164084
100% Corpus,2,symmetric,0.01,0.3735325485233582
100% Corpus,2,symmetric,0.31,0.3440332812482087
100% Corpus,2,symmetric,0.61,0.34732322600774834
